"XAU.USD" "USD.EUR" "USD.CNY" "USD.JPY"
"255" 1855.52 0.7329 6.3995 77.56
"256" 1838.585 0.7352 6.4008 77.24
"257" 1824.45 0.7317 6.4017 77
"258" 1828.78 0.7306 6.3859 76.82
"259" 1803.36 0.7251 6.3793 76.7
"260" 1787.24 0.7234 6.3721 76.79
"261" 1811.65 0.7246 6.3685 76.8
"262" 1811.75 0.7251 6.3685 76.81
"263" 1808.325 0.7319 6.3696 76.75
"264" 1789.725 0.7321 6.3838 76.53
"265" 1802.385 0.7305 6.3772 76.39
"266" 1759.67 0.7402 6.4097 76.49
"267" 1709.24 0.7407 6.4196 76.33
"268" 1656.85 0.7408 6.42 76.57
"269" 1656.85 0.7404 6.42 76.56
"270" 1618.645 0.7428 6.4037 76.42
"271" 1648.645 0.7376 6.3851 76.48
"272" 1640.325 0.7356 6.3774 76.54
"273" 1614.005 0.7355 6.3951 76.62
"274" 1623.63 0.7403 6.4049 76.82
"275" 1623.81 0.747 6.397 77.05
"276" 1623.865 0.7473 6.397 77.06
"277" 1644.49 0.7511 6.3965 76.89
"278" 1650.67 0.7566 6.3969 76.73
"279" 1624.42 0.7509 6.382 76.75
"280" 1645.56 0.7486 6.3727 76.71
"281" 1651.35 0.7445 6.3672 76.71
"282" 1638.1 0.7475 6.3665 76.79
"283" 1638.2 0.7476 6.3665 76.78
"284" 1658.78 0.7386 6.3559 76.71
"285" 1670.085 0.7337 6.3548 76.68
"286" 1674.275 0.7291 6.3713 76.91
"287" 1671.95 0.7265 6.3886 76.99
"288" 1672.82 0.7244 6.3914 77.04
"289" 1680.83 0.7204 6.387 77.21
"290" 1680.74 0.7205 6.387 77.19
"291" 1680.71 0.7236 6.3817 77.1
"292" 1660.74 0.7282 6.3884 76.8
"293" 1653.03 0.7252 6.3835 76.77
"294" 1623.885 0.7275 6.3885 76.83
"295" 1629.345 0.7243 6.3873 76.55
"296" 1641.77 0.7197 6.383 76.24
"297" 1641.745 0.72 6.383 76.25
"298" 1649.235 0.7203 6.3788 76.18
"299" 1667.41 0.7187 6.369 76.07
"300" 1713.315 0.7191 6.3702 76.02
"301" 1726.46 0.7123 6.3637 75.96
"302" 1742.275 0.7058 6.3495 75.83
"303" 1744.17 0.7068 6.3505 75.82
"304" 1744.05 0.7069 6.3505 75.79
"305" 1723.445 0.7136 6.3513 77.9
"306" 1711.19 0.7269 6.3626 78.23
"307" 1728.45 0.7277 6.3588 78.13
"308" 1743.49 0.7277 6.3511 78.04
"309" 1758.015 0.7247 6.3448 78.09
"310" 1754.895 0.7252 6.3485 78.24
"311" 1754.89 0.7253 6.3485 78.23
"312" 1771.79 0.7266 6.3445 78.1
"313" 1792.195 0.7259 6.3383 77.95
"314" 1787.49 0.7289 6.3318 77.68
"315" 1762.98 0.7371 6.3436 77.7
"316" 1768.74 0.7322 6.3393 77.42
"317" 1788.55 0.7272 6.3358 77.14
"318" 1788.54 0.727 6.3428 77.14
"319" 1785.1 0.7296 6.3402 77.08
"320" 1775.095 0.7365 6.3511 77.04
"321" 1772.325 0.741 6.3516 77.01
"322" 1751.02 0.7421 6.3487 77
"323" 1724.13 0.7403 6.3528 76.86
"324" 1723.795 0.7393 6.35 76.91
"325" 1720.53 0.7394 6.3576 76.89
"326" 1708.19 0.7409 6.3584 76.87
"327" 1689.46 0.7403 6.3709 77
"328" 1697.17 0.7446 6.3755 77.14
"329" 1694.585 0.7486 6.3826 77.13
"330" 1686.685 0.7528 6.3818 77.46
"331" 1681.17 0.7553 6.3855 77.73
"332" 1681.2 0.755 6.3855 77.71
"333" 1706.925 0.7504 6.3798 77.76
"334" 1712.03 0.7499 6.3726 77.95
"335" 1726.415 0.7485 6.3627 77.83
"336" 1745.97 0.7429 6.3539 77.66
"337" 1746.765 0.7431 6.3497 77.85
"338" 1746.37 0.7466 6.349 77.99
"339" 1746.42 0.7466 6.349 77.99
"340" 1741.51 0.7447 6.3471 77.94
"341" 1718.43 0.7471 6.3447 77.76
"342" 1731.14 0.746 6.3445 77.71
"343" 1731.54 0.7473 6.3431 77.58
"344" 1712.315 0.749 6.3453 77.65
"345" 1711.32 0.747 6.3407 77.6
"346" 1711.33 0.7471 6.343 77.61
"347" 1686.355 0.7524 6.3742 77.75
"348" 1659.48 0.7597 6.3837 77.87
"349" 1620.24 0.7684 6.3951 78.01
"350" 1576.77 0.7693 6.4049 77.97
"351" 1587.475 0.7674 6.3855 77.85
"352" 1598.975 0.7667 6.3754 77.79
"353" 1599.01 0.7668 6.3754 77.79
"354" 1595.085 0.7682 6.3767 77.91
"355" 1603.975 0.7665 6.3747 77.92
"356" 1620.92 0.7639 6.3637 77.87
"357" 1610.09 0.7661 6.3636 78.1
"358" 1608.715 0.7658 6.3574 78.09
"359" 1607.02 0.7667 6.3566 78.09
"360" 1607.03 0.7667 6.3566 78.09
"361" 1606.06 0.7655 6.3566 77.98
"362" 1596.905 0.7653 6.3529 77.9
"363" 1582.135 0.7672 6.3586 77.81
"364" 1546.07 0.7739 6.3651 77.79
"365" 1561.42 0.7723 6.3585 77.41
"366" 1564.99 0.7715 6.354 76.91
"367" 1565.025 0.7717 6.354 76.89
"368" 1565.03 0.773 6.3505 76.96
"369" 1587.375 0.769 6.3311 76.79
"370" 1604.415 0.7691 6.3177 76.7
"371" 1614.215 0.7769 6.3212 76.88
"372" 1621.485 0.7831 6.3261 77.14
"373" 1617.54 0.7862 6.326 76.96
"374" 1617.57 0.7865 6.326 76.95
"375" 1614.19 0.7857 6.3234 76.89
"376" 1624.205 0.7825 6.3118 76.84
"377" 1638.375 0.7854 6.3129 76.91
"378" 1648.05 0.7842 6.3152 76.85
"379" 1641.42 0.7827 6.3105 76.8
"380" 1639.49 0.7886 6.3125 76.97
"381" 1639.5 0.7889 6.3125 76.97
"382" 1641.34 0.7901 6.3137 76.82
"383" 1656.155 0.7856 6.3066 76.77
"384" 1653.54 0.7817 6.2994 76.77
"385" 1660.425 0.7761 6.2982 76.87
"386" 1655.99 0.7727 6.303 77.11
"387" 1666.53 0.7732 6.3055 77.02
"388" 1666.52 0.7736 6.3055 77.02
"389" 1671.565 0.7723 6.3042 76.99
"390" 1671.685 0.7687 6.3014 77.3
"391" 1667.965 0.7684 6.3 77.93
"392" 1715.555 0.7619 6.2933 77.61
"393" 1723.655 0.7617 6.2898 77.05
"394" 1738.69 0.7564 6.2885 76.7
"395" 1738.68 0.7565 6.2885 76.7
"396" 1730.155 0.7604 6.2956 76.6
"397" 1736.72 0.7605 6.2972 76.3
"398" 1741.795 0.7624 6.2957 76.18
"399" 1749.49 0.7601 6.2924 76.14
"400" 1752.11 0.7611 6.2941 76.32
"401" 1726.21 0.7601 6.2926 76.6
"402" 1726.235 0.7605 6.2926 76.6
"403" 1725.385 0.764 6.2953 76.62
"404" 1726.22 0.7602 6.2962 76.73
"405" 1743.32 0.7541 6.29 76.95
"406" 1735.4 0.7534 6.2896 77.25
"407" 1723.995 0.7555 6.2911 77.65
"408" 1722.03 0.7578 6.292 77.62
"409" 1722.095 0.7577 6.292 77.62
"410" 1725.98 0.7555 6.2922 77.62
"411" 1718.76 0.76 6.2957 77.99
"412" 1726.25 0.7619 6.297 78.44
"413" 1721.655 0.7669 6.3004 78.65
"414" 1729.19 0.7609 6.2973 79.15
"415" 1723.36 0.7609 6.2962 79.56
"416" 1723.42 0.7604 6.2963 79.57
"417" 1733.29 0.7561 6.2942 79.55
"418" 1742.07 0.7551 6.2966 79.72
"419" 1758.245 0.7555 6.2979 80.08
"420" 1777.67 0.7528 6.2989 80.18
"421" 1778.01 0.7461 6.2977 80.45
"422" 1772.445 0.7434 6.2974 81.2
"423" 1772.41 0.7433 6.2974 81.19
"424" 1772.34 0.7448 6.3006 80.84
"425" 1775.59 0.7446 6.3003 80.48
"426" 1770.55 0.7443 6.2959 80.61
"427" 1714.93 0.7504 6.2996 81.11
"428" 1715.93 0.7541 6.2981 81.46
"429" 1712.54 0.7577 6.2983 81.81
"430" 1712.47 0.7577 6.2983 81.81
"431" 1706.935 0.7574 6.3057 81.47
"432" 1691.19 0.7593 6.3142 81.16
"433" 1678.01 0.7614 6.3182 80.85
"434" 1692.42 0.7575 6.3168 81.4
"435" 1702.39 0.7572 6.313 81.93
"436" 1713.91 0.762 6.3115 82.48
"437" 1713.92 0.7621 6.3115 82.48
"438" 1704.785 0.7624 6.323 82.27
"439" 1696.28 0.7616 6.3315 82.53
"440" 1661.65 0.766 6.3418 83.37
"441" 1647.7 0.7662 6.3364 83.67
"442" 1656.365 0.7629 6.3263 83.51
"443" 1660.02 0.759 6.324 83.44
"444" 1660.02 0.759 6.324 83.43
"445" 1660.585 0.7585 6.3208 83.35
"446" 1654.455 0.7562 6.3248 83.55
"447" 1652.745 0.7553 6.3299 83.71
"448" 1644.325 0.7577 6.3256 83.01
"449" 1652.215 0.7558 6.3173 82.59
"450" 1661.975 0.7536 6.3165 82.35
"451" 1661.97 0.7536 6.3165 82.36
"452" 1671.45 0.7528 6.3171 82.73
"453" 1688.61 0.7493 6.3185 82.96
"454" 1674.755 0.7504 6.3226 82.94
"455" 1659.105 0.7518 6.3233 82.49
"456" 1664.01 0.7497 6.3185 82.28
"457" 1668.32 0.7495 6.3175 82.87
"458" 1668.395 0.7494 6.3175 82.88
"459" 1671.9 0.7498 6.3145 82.67
"460" 1672.955 0.7507 6.31 82.15
"461" 1633.2 0.7591 6.3151 82.6
"462" 1625.56 0.7631 6.3179 82.26
"463" 1633.855 0.7648 6.3171 82.06
"464" 1640 0.7636 6.31 81.64
"465" 1640.08 0.7636 6.31 81.63
"466" 1642.245 0.7645 6.3195 81.43
"467" 1648.31 0.7634 6.3213 81.23
"468" 1657.55 0.7631 6.3226 80.83
"469" 1662.865 0.7607 6.3183 80.93
"470" 1670.075 0.7609 6.3091 80.98
"471" 1658.4 0.7646 6.307 80.92
"472" 1658.4 0.7647 6.307 80.92
"473" 1650.255 0.7662 6.3171 80.68
"474" 1650.675 0.7617 6.3144 80.59
"475" 1646.965 0.7628 6.3148 81.27
"476" 1641.525 0.7621 6.3167 81.49
"477" 1642.86 0.7592 6.3154 81.62
"478" 1643.06 0.7566 6.3123 81.53
"479" 1643.05 0.757 6.3123 81.57
"480" 1636.75 0.7598 6.3146 81.24
"481" 1639.41 0.7593 6.3172 81.13
"482" 1641.495 0.7574 6.3148 81.35
"483" 1650.35 0.756 6.3096 81.06
"484" 1658.485 0.7566 6.31 80.74
"485" 1662.99 0.7545 6.3085 80.3
"486" 1662.99 0.7546 6.3085 80.31
"487" 1662.66 0.7555 6.3063 80.09
"488" 1664.26 0.7551 6.3047 79.93
"489" 1656.095 0.7584 6.3033 80.22
"490" 1644.085 0.7607 6.304 80.26
"491" 1636.6 0.7615 6.3053 80.09
"492" 1642.37 0.7643 6.3053 79.86
"493" 1642.365 0.7647 6.3053 79.85
"494" 1638.605 0.7682 6.3134 79.85
"495" 1623.945 0.7678 6.3113 79.88
"496" 1592.84 0.7711 6.3099 79.73
"497" 1593.24 0.7723 6.3111 79.77
"498" 1585.22 0.7734 6.3121 79.89
"499" 1579.48 0.7741 6.313 79.94
"500" 1579.545 0.7742 6.313 79.94
"501" 1570.4 0.7771 6.3197 79.94
"502" 1555.77 0.7806 6.3213 79.98
"503" 1539.385 0.7859 6.3286 80.35
"504" 1555.19 0.7863 6.3273 80.04
"505" 1582.935 0.7873 6.3289 79.29
"506" 1593.14 0.7829 6.3285 79.03
"507" 1593.155 0.783 6.3285 79.02
"508" 1593.26 0.7826 6.3246 79.26
"509" 1584.39 0.7832 6.3202 79.66
"510" 1557.295 0.7913 6.328 79.57
"511" 1561.965 0.7957 6.3329 79.47
"512" 1562.115 0.7975 6.3384 79.63
"513" 1572.91 0.7988 6.3375 79.69
"514" 1572.945 0.7979 6.3375 79.68
"515" 1576.58 0.7957 6.3335 79.45
"516" 1571.105 0.7984 6.3339 79.51
"517" 1553.025 0.8038 6.3409 79.25
"518" 1563.44 0.8077 6.3503 78.7
"519" 1576.42 0.8088 6.3496 78.3
"520" 1624.25 0.8042 6.348 78.02
"521" 1624.25 0.8051 6.348 78.02
"522" 1619.235 0.8038 6.343 78.19
"523" 1618.23 0.8018 6.3368 78.45
"524" 1627.96 0.7999 6.3335 78.98
"525" 1612.985 0.7953 6.3253 79.45
"526" 1581.245 0.7998 6.3262 79.42
"527" 1593.56 0.7993 6.329 79.47
"528" 1593.875 0.7973 6.329 79.49
"529" 1596.43 0.7949 6.3234 79.52
"530" 1597.87 0.8007 6.329 79.46
"531" 1613.32 0.798 6.3258 79.53
"532" 1619.85 0.795 6.3203 79.36
"533" 1625.23 0.7918 6.313 78.94
"534" 1627.34 0.7913 6.3132 78.72
"535" 1627.34 0.7909 6.3132 78.73
"536" 1622.945 0.7906 6.3103 79.1
"537" 1626.935 0.7918 6.308 78.98
"538" 1614.16 0.7881 6.3067 79.11
"539" 1591.595 0.791 6.3084 79.85
"540" 1566.745 0.7967 6.3127 80.34
"541" 1572.69 0.7956 6.3116 80.43
"542" 1572.69 0.7957 6.3116 80.43
"543" 1574.44 0.7993 6.3208 80
"544" 1580.55 0.8001 6.3212 79.52
"545" 1572.075 0.8011 6.3164 79.59
"546" 1567.42 0.8027 6.315 79.44
"547" 1575.89 0.7951 6.3143 79.53
"548" 1597.58 0.7896 6.3125 79.8
"549" 1597.58 0.7896 6.3125 79.8
"550" 1594.825 0.7926 6.3116 79.65
"551" 1608.695 0.7941 6.3079 79.74
"552" 1616.435 0.7955 6.3035 79.8
"553" 1612.98 0.8018 6.3073 79.85
"554" 1596.035 0.8096 6.3135 79.8
"555" 1583.82 0.8139 6.3175 79.66
"556" 1583.82 0.814 6.3175 79.66
"557" 1583.89 0.8135 6.3195 79.62
"558" 1585.81 0.8139 6.3139 79.46
"559" 1574.815 0.8158 6.3111 79.41
"560" 1568.625 0.8187 6.3144 79.42
"561" 1579.58 0.819 6.3131 79.27
"562" 1589.55 0.8164 6.3111 79.18
"563" 1589.55 0.8163 6.3111 79.19
"564" 1588.8 0.8171 6.3127 79
"565" 1590.16 0.8145 6.3098 78.99
"566" 1579.42 0.8149 6.3081 78.98
