"AdjClose.priceSS" "AdjClose.priceSZSA"
"619" 1549.5 NA
"620" 1567.5 NA
"621" 1541.53 NA
"622" 1588.11 NA
"623" 1564.49 NA
"624" 1571.61 NA
"625" 1549.47 NA
"626" 1555.05 NA
"627" 1558.52 NA
"628" 1524.81 NA
"629" 1523.52 NA
"630" 1515.73 NA
"631" 1483.35 NA
"632" 1490.51 NA
"633" 1462 NA
"634" 1521.26 NA
"635" 1529.51 NA
"636" 1517.23 NA
"637" 1530.96 NA
"638" 1524.84 NA
"639" 1511.71 NA
"640" 1494.25 NA
"641" 1496.24 NA
"642" 1524.07 NA
"643" 1507.67 NA
"644" 1516.15 NA
"645" 1562.72 NA
"646" 1707.31 NA
"647" 1706.59 NA
"648" 1712.91 NA
"649" 1723.55 NA
"650" 1732.76 NA
"651" 1713.7 NA
"652" 1724.95 NA
"653" 1730.92 NA
"654" 1713.14 NA
"655" 1722.19 NA
"656" 1732.93 NA
"657" 1729.99 NA
"658" 1701.82 NA
"659" 1696.94 NA
"660" 1698.3 NA
"661" 1687.94 NA
"662" 1691.62 NA
"663" 1701.72 NA
"664" 1704.91 NA
"665" 1713.86 NA
"666" 1681.01 NA
"667" 1673.86 NA
"668" 1672.4 NA
"669" 1665.11 NA
"670" 1657.5 NA
"671" 1665.67 NA
"672" 1669 NA
"673" 1651.59 NA
"674" 1653.01 NA
"675" 1661.87 NA
"676" 1653.96 NA
"677" 1670.62 NA
"678" 1668.06 NA
"679" 1659.8 NA
"680" 1647.05 NA
"681" 1634.57 NA
"682" 1636.63 NA
"683" 1646.72 NA
"684" 1634.37 NA
"685" 1646.79 NA
"686" 1644.3 NA
"687" 1671.35 NA
"688" 1673.55 NA
"689" 1686.11 NA
"690" 1683.21 NA
"691" 1670.69 NA
"692" 1679.69 NA
"693" 1676.77 NA
"694" 1667.32 NA
"695" 1666.62 NA
"696" 1668.77 NA
"697" 1674.07 NA
"698" 1663.97 NA
"699" 1641.81 NA
"700" 1631.38 NA
"701" 1621.58 NA
"702" 1625.11 NA
"703" 1620.35 NA
"704" 1624.56 NA
"705" 1625.76 NA
"706" 1604.08 NA
"707" 1604.88 NA
"708" 1594.58 NA
"709" 1619.35 NA
"710" 1604.91 NA
"711" 1602.59 NA
"712" 1596.73 NA
"713" 1597.84 NA
"714" 1587.65 NA
"715" 1581.62 NA
"716" 1581.62 NA
"717" 1581.62 NA
"718" 1581.62 NA
"719" 1581.62 NA
"720" 1581.62 NA
"721" 1581.62 NA
"722" 1562.99 NA
"723" 1535.37 NA
"724" 1530.41 NA
"725" 1524.05 NA
"726" 1531.68 NA
"727" 1524.73 NA
"728" 1537.39 NA
"729" 1513.1 NA
"730" 1519.54 NA
"731" 1524.93 NA
"732" 1548.1 NA
"733" 1548.96 NA
"734" 1536.52 NA
"735" 1520.31 NA
"736" 1502.72 NA
"737" 1510.88 NA
"738" 1509.71 NA
"739" 1507.5 NA
"740" 1510.76 NA
"741" 1531.84 NA
"742" 1558.24 NA
"743" 1552.56 NA
"744" 1554.24 NA
"745" 1522.19 NA
"746" 1504.4 NA
"747" 1485.91 NA
"748" 1490.46 NA
"749" 1460.8 NA
"750" 1463.69 NA
"751" 1451.29 NA
"752" 1462.17 NA
"753" 1425.84 NA
"754" 1390.63 NA
"755" 1395.5 NA
"756" 1398.44 NA
"757" 1371.17 NA
"758" 1378.75 NA
"759" 1417.53 NA
"760" 1434.18 NA
"761" 1395.68 NA
"762" 1408.84 NA
"763" 1414.45 NA
"764" 1404.88 NA
"765" 1405.53 NA
"766" 1400.87 NA
"767" 1383.84 NA
"768" 1379.19 NA
"769" 1383.91 NA
"770" 1396.9 NA
"771" 1408.52 NA
"772" 1416.1 NA
"773" 1411.72 NA
"774" 1413.6 NA
"775" 1427.94 NA
"776" 1430.2 NA
"777" 1430.83 NA
"778" 1421.52 NA
"779" 1384.15 NA
"780" 1382.97 NA
"781" 1366.36 NA
"782" 1357.65 NA
"783" 1357.65 NA
"784" 1320.63 NA
"785" 1319.87 NA
"786" 1334.68 NA
"787" 1332.06 NA
"788" 1372.07 NA
"789" 1397.38 NA
"790" 1384.86 NA
"791" 1386.31 NA
"792" 1466.85 NA
"793" 1459.92 NA
"794" 1485.62 NA
"795" 1478.68 NA
"796" 1482.68 NA
"797" 1454.89 NA
"798" 1460.53 NA
"799" 1450.62 NA
"800" 1479.07 NA
"801" 1496.16 NA
"802" 1500.64 NA
"803" 1499.81 NA
"804" 1499.81 NA
"805" 1499.81 NA
"806" 1499.81 NA
"807" 1499.81 NA
"808" 1499.81 NA
"809" 1499.81 NA
"810" 1499.81 NA
"811" 1480.17 NA
"812" 1492.76 NA
"813" 1510.67 NA
"814" 1504.34 NA
"815" 1510.95 NA
"816" 1496.52 NA
"817" 1496.47 NA
"818" 1510.8 NA
"819" 1509.49 NA
"820" 1478.87 NA
"821" 1481.94 NA
"822" 1511.28 NA
"823" 1513.18 NA
"824" 1513.7 NA
"825" 1511.93 NA
"826" 1525.48 NA
"827" 1524.3 NA
"828" 1517.18 NA
"829" 1498.34 NA
"830" 1493.09 NA
"831" 1468.92 NA
"832" 1469.55 NA
"833" 1475.01 NA
