收盤價	成交量	週轉率	市值比重 本益比	股價淨值比
46.17	266874	1.0413	7.759	15.88	3.15
47.97	310216	1.2105	7.66	16.49	3.27
45.8	238280	0.9298	7.709	14.79	3.12
48.57	337889	1.3184	7.827	15.69	3.31
46.7	437821	1.7084	7.438	15.08	3.19
48.27	215987	0.8427	7.619	15.12	3.29
48.05	215706	0.8416	7.318	15.05	3.28
50.07	256734	1.0017	7.486	15.68	3.42
48.5	260239	1.0154	7.352	15.19	3.31
50.97	300412	1.1721	7.653	14.72	3.48
49.7	223276	0.8712	7.615	14.35	3.39
51.87	348046	1.358	7.598	14.98	3.54
49.1	305376	1.1915	7.488	14.18	3.35
49.17	477535	1.8632	7.688	14.2	3.35
51.27	318663	1.2433	7.884	14.81	3.44
48.57	368103	1.4362	8.059	14.03	3.26
47.75	270692	1.0562	8.127	13.79	3.21
47.97	432953	1.6892	8.542	13.85	3.22
44.22	372827	1.4546	8.22	12.77	2.97
46.77	273219	1.066	8.672	13.51	3.14
46.7	328178	1.2548	8.74	12.8	2.98
46.54	270979	1.0361	8.204	12.76	2.97
45.09	212920	0.8141	8.21	12.36	2.88
48.72	290275	1.1099	8.617	13.36	3.11
48.8	642283	2.4558	8.645	13.38	3.11
48.47	239579	0.9249	8.874	12.92	3.09
47.43	330056	1.2742	8.519	12.64	3.02
42.68	468512	1.8087	8.558	11.37	2.72
42.43	290457	1.1213	8.505	11.31	2.68
44.77	495427	1.9126	9.484	11.93	2.83
43	276170	1.0662	9.165	11.46	2.72
41.39	233944	0.9031	9.094	10.96	3
37.12	261737	1.0104	9.133	9.83	2.69
36.19	336871	1.3005	9.203	9.58	2.63
32.01	284780	1.0994	8.838	8.48	2.32
38.65	437330	1.6883	10.024	10.21	2.81
35.03	387343	1.4953	9.331	9.24	2.54
33.58	267781	1.0337	9.526	8.85	2.44
31	267990	1.0458	9.302	8.17	2.23
32.85	307162	1.1987	9.221	8.66	2.36
29.95	325034	1.2684	8.869	7.9	2.06
33.66	453380	1.7693	9.398	8.87	2.32
36.19	305178	1.1909	9.65	9.54	2.49
34.95	135714	0.5296	9.885	9.21	2.41
35.75	70632	0.2756	9.733	9.43	2.46
33.01	326176	1.2729	9.239	8.61	2.27
33.38	280835	1.0959	9.558	8.71	2.3
32.37	183115	0.7146	9.532	8.45	2.23
35.99	463012	1.8068	10.046	9.39	2.48
37	351524	1.3718	10.048	9.65	2.55
35.35	327490	1.278	9.937	9.22	2.43
36.19	292687	1.1422	9.91	9.44	2.49
39.05	427704	1.669	11.093	10.19	2.69
39.86	397992	1.5531	10.757	10.4	2.75
38.41	327823	1.2793	10.228	12.23	2.65
41.79	311931	1.2172	10.24	13.31	2.88
42.35	338991	1.3228	10.114	13.49	2.92
42.68	404921	1.5801	9.746	13.59	2.94
40.58	465188	1.8153	9.309	12.92	2.8
40.66	372456	1.4534	9.129	12.95	2.8
44.45	334814	1.3065	9.795	14.15	3.06
45.33	722729	2.8203	8.703	19.69	3.12
44.13	400868	1.5643	8.595	19.16	3.04
45.25	340401	1.3283	8.487	19.65	3.12
48.63	301102	1.175	8.918	21.12	3.35
46.46	410567	1.6021	8.559	20.17	3.07
45.09	371592	1.45	8.835	19.58	2.98
42.11	398658	1.5557	8.534	18.29	2.78
43.8	362013	1.4127	8.557	19.02	2.89
44.29	217982	0.8506	8.389	19.23	2.93
45.17	255998	0.999	8.423	19.62	2.99
46.19	345001	1.3322	8.09	18.95	2.9
48.93	365573	1.4117	8.418	20.07	3.08
50.38	420332	1.6231	8.523	20.67	3.17
48.58	240435	0.9284	8.459	19.93	3.05
50.38	311415	1.2025	8.514	20.81	3.17
48.58	173040	0.6682	8.721	20.07	3.05
50.89	228437	0.8821	8.956	22.28	3.2
51.32	280376	1.0826	8.613	22.47	3.23
