T收盤價	T成交量	T週轉率	T本益比	T股價淨值比
5857.93	4166000	1.0217	68.23	1.72
5849.85	2985000	0.7159	68.21	1.72
5844.25	2779000	0.6566	68.18	1.72
5926.08	3982000	0.9551	69.08	1.74
5968.61	3601000	0.8517	69.67	1.76
5861.66	3942000	0.9137	68.34	1.73
5692.18	3304000	0.7656	66.26	1.67
5656.1	3048000	0.7313	65.96	1.67
5609.83	2864000	0.6771	65.35	1.65
5510.71	2498000	0.576	64.21	1.62
5499.79	2899000	0.6827	64.07	1.62
5696.11	3298000	0.768	66.43	1.68
5680.78	3849000	0.879	66.32	1.67
5874.48	4212000	0.9464	68.64	1.73
5957.75	4972000	1.1935	69.77	1.76
6097.57	5129000	1.2259	71.56	1.81
6048.15	5638000	1.3426	70.83	1.79
6011.65	5231000	1.2507	70.45	1.78
6196.26	5608000	1.3363	72.66	1.83
6122.54	4889000	1.1604	71.67	1.81
6088.34	4951000	1.1713	71.01	1.8
6070.5	4741000	1.1319	71.58	1.8
5951.45	4158000	0.9895	70.08	1.76
5972.11	2849000	0.6708	70.45	1.77
5906.73	3282000	0.7767	69.7	1.75
6059.06	4127000	0.9622	71.59	1.8
6046.52	4332000	1.0367	67.78	1.8
6140.42	5463000	1.3043	68.8	1.83
6219.17	5479000	1.3164	69.68	1.85
6242.64	5267000	1.2728	69.93	1.86
6147.75	7367000	1.734	69.34	1.84
6209.92	5670000	1.3666	70.03	1.86
6167.47	4540000	0.9853	68.42	1.85
6186.44	3952000	0.9512	68.77	1.86
6243.46	5310000	1.2763	69.43	1.88
6294.66	5909000	1.4071	70.02	1.89
6207.09	6252000	1.5021	68.89	1.86
6190.83	5216000	1.2542	68.6	1.86
6069.85	5221000	1.2584	67.37	1.82
6059.21	3747000	0.8838	66.07	1.82
6073.76	4235000	1.0044	66.18	1.82
6182.59	4062000	0.974	67.51	1.86
6196	4381000	1.0502	67.71	1.86
6257.73	4248000	1.0094	68.37	1.88
6390.68	6485000	1.5556	69.78	1.92
6387.21	6017000	1.452	69.65	1.92
6448.12	5752000	1.3878	70.31	1.93
6462.3	5715000	1.3698	70.6	1.94
6390.62	5674000	1.3575	69.87	1.92
6455.39	5299000	1.284	71.82	1.94
6355.59	8192000	1.9678	70.8	1.91
6306.93	4541000	1.1063	70.76	1.89
6205.09	4260000	1.0349	69.54	1.86
6065.73	3758000	0.9038	67.93	1.82
5867.83	4157000	0.987	65.4	1.76
5910.32	3902000	0.9438	65.79	1.77
5642.48	3564000	0.8438	62.84	1.69
5663.98	3476000	0.8451	58.1	1.7
5711.53	4053000	0.9799	58.65	1.72
5739.28	4254000	1.0216	58.9	1.73
5807.3	3335000	0.7985	59.6	1.75
5742.66	2213000	0.5329	58.89	1.73
5755.92	2792000	0.6813	59.11	1.73
5910.69	3796000	0.8979	60.9	1.79
5801.47	2743000	0.6616	59.76	1.75
5789.84	2994000	0.6975	59.57	1.75
5574.71	2476000	0.5788	57.34	1.68
5443.18	2371000	0.5533	55.92	1.64
5541.64	3009000	0.7134	56.98	1.67
5549.96	2949000	0.6911	57.25	1.68
5706.4	3501000	0.8402	58.84	1.72
5729.9	3108000	0.7265	59.06	1.73
5669.53	3218000	0.7711	58.5	1.71
5623.23	2290000	0.5461	58	1.7
5736.19	4103000	0.9729	59.1	1.73
5675.65	2846000	0.6832	58.46	1.71
5571.08	2068000	0.4881	199.54	1.65
5527.8	1948000	0.4626	197.72	1.64
5599.42	2896000	0.6812	200.52	1.66
5591.02	2814000	0.6704	219.66	1.66
5433.02	3081000	0.7401	212.92	1.61
5499.33	2464000	0.5918	215.85	1.63
5405.42	3007000	0.7248	215.95	1.6
5399.96	2650000	0.6363	215.76	1.6
5562.23	4870000	1.1754	222.02	1.64
5562.12	4147000	1.0028	220.93	1.64
5537.81	3741000	0.8747	219.69	1.63
