"XAU.TWD" "USD.TWD" "CNY.TWD" "CHF.TWD"
"505" 46843.15 29.5926 4.6758 31.2969
"506" 47046.05 29.5302 4.6664 31.4222
"507" 47093.65 29.56 4.671 31.4527
"508" 47078.7 29.5487 4.6721 31.4338
"509" 46772.45 29.5207 4.6709 31.382
"510" 46038.7 29.5632 4.6718 31.1102
"511" 46225.3 29.5943 4.6731 30.9588
"512" 46279.2 29.6259 4.674 30.9136
"513" 46652.85 29.6601 4.6802 30.9147
"514" 46654.2 29.6603 4.6803 30.9239
"515" 46692.8 29.6165 4.6762 30.9644
"516" 46539.65 29.6222 4.6768 30.8771
"517" 46147.8 29.7147 4.6863 30.7789
"518" 46644.1 29.8343 4.6982 30.7554
"519" 47165.75 29.9196 4.7121 30.8014
"520" 48628.85 29.9392 4.7165 30.992
"521" 48287.85 29.7282 4.6836 30.768
"522" 48552.95 29.9851 4.7274 31.0588
"523" 48518.3 29.9823 4.7315 31.1364
"524" 48674.45 29.8991 4.7208 31.1246
"525" 48143.85 29.8477 4.7188 31.2474
"526" 47324.05 29.9284 4.7309 31.1561
"527" 47603.5 29.8716 4.7202 31.1299
"528" 47625.6 29.8797 4.7214 31.164
"529" 47758.8 29.916 4.731 31.3299
"530" 47866 29.9561 4.7332 31.1535
"531" 48333.25 29.9589 4.736 31.2591
"532" 48525.85 29.957 4.7399 31.3743
"533" 48622.1 29.9171 4.739 31.4586
"534" 48608.5 29.8695 4.7315 31.4348
"535" 48641.25 29.89 4.7346 31.4687
"536" 48498.15 29.8828 4.7356 31.4684
"537" 48604.8 29.8751 4.7361 31.417
"538" 48165.85 29.8397 4.7314 31.5272
"539" 47548.8 29.8749 4.7357 31.4478
"540" 46895.4 29.9318 4.7415 31.2848
"541" 47087.2 29.9402 4.7439 31.341
"542" 47099.25 29.9482 4.7451 31.3446
"543" 47178.15 29.9651 4.7408 31.2169
"544" 47361.6 29.9653 4.7405 31.1835
"545" 47048.55 29.9277 4.7381 31.1071
"546" 46899.1 29.9212 4.7381 31.0379
"547" 47182.05 29.94 4.7417 31.34
"548" 47590.8 29.789 4.7193 31.4075
"549" 47608.1 29.8 4.7209 31.4198
"550" 47634.4 29.8681 4.7322 31.3676
"551" 48038.6 29.8619 4.7341 31.3042
"552" 48220.35 29.8313 4.7325 31.2193
"553" 48166.1 29.8617 4.7345 31.003
"554" 47740.2 29.9118 4.7377 30.7603
"555" 47458.25 29.9644 4.7431 30.6541
"556" 47435.5 29.95 4.7408 30.6322
"557" 47432.6 29.9469 4.7388 30.6508
"558" 47488.1 29.9457 4.7428 30.6385
"559" 47152.45 29.9416 4.7443 30.5606
"560" 47053.15 29.9964 4.7505 30.5102
"561" 47372.2 29.9904 4.7506 30.4937
"562" 47563.9 29.9228 4.7413 30.5208
"563" 47606.95 29.95 4.7456 30.551
"564" 47648 29.99 4.7508 30.5602
"565" 47654.3 29.9683 4.7495 30.6342
"566" 47351 29.98 4.7526 30.631
"567" 47382.85 29.9745 4.7538 30.6489
"568" 47436.05 29.9788 4.7548 30.5166
"569" 47564.1 30.0177 4.7601 30.3811
"570" 47488.5 29.97 4.7525 30.325
"571" 47369.65 30.0453 4.7578 30.3095
"572" 47481.8 30.1117 4.7651 30.3365
"573" 48013.4 30.1612 4.7699 30.4053
"574" 48490.1 30.1269 4.7175 30.6101
"575" 48693.45 30.075 4.7584 30.802
"576" 48770.75 30.04 4.7544 30.8106
"577" 48753.75 30.0295 4.7528 30.7989
"578" 48689.3 30.0407 4.7532 30.699
"579" 48613.4 29.9861 4.7467 30.6605
"580" 48236.4 29.96 4.7433 30.6618
"581" 47910.05 29.9753 4.7417 30.502
"582" 47803.5 29.9696 4.7406 30.5659
"583" 48023.5 29.9483 4.7403 30.8673
"584" 48058.3 29.97 4.7437 30.8909
"585" 48133.3 29.9308 4.7348 30.8667
"586" 48270.05 29.9383 4.7359 30.9168
"587" 48267.6 29.9642 4.7379 30.863
"588" 48350.5 29.9422 4.7342 30.7499
"589" 48451.75 29.99 4.7387 30.685
"590" 48588.7 29.99 4.7382 30.6979
"591" 48543.4 29.962 4.7339 30.6687
"592" 48603.2 30.005 4.7407 30.7608
