TSMC	TWI
11.11	6755.71
11.11	6800.73
11.39	6942.26
11.57	6894.57
11.57	6803.83
11.3	6841.83
11.3	6860.17
11.3	6857.96
11.48	6972.54
11.57	7000.52
11.39	6961.76
11.48	7149.59
11.39	7029.4
11.48	7033.99
11.66	6962.17
11.75	6979.95
11.84	6979.89
12.11	6910.61
12.29	6884.5
11.93	6833.95
11.39	6702.06
10.84	6436
11.11	6619.97
10.75	6534.65
10.84	6674.89
11.39	6970.23
11.11	6944.17
11.21	6920.45
11.39	6909.22
11.3	6819.12
11.39	6799.88
11.66	6901.19
11.66	6904.56
11.3	6848.72
11.48	7021.42
11.21	6987.79
11.3	7055.46
11.3	7050.32
11.3	7036.63
11.39	6962.09
11.39	7016.89
11.84	7101.46
12.2	7165.98
12.65	7218.09
12.38	7071.44
12.02	6905.32
12.47	6957.27
12.38	6889.65
12.47	6978.72
12.38	6957.4
11.93	6812.3
11.75	6654.79
12.11	6829.62
12.38	7003.87
13.19	7131.9
13.37	7100.14
14.28	7300.34
14.46	7380.53
14.1	7366.11
13.83	7312.26
14.73	7435.84
15	7213.5
14.91	7377.86
14.55	7320.12
14.19	7177.22
13.92	7102.37
13.92	7157.22
14.1	7140.11
14.46	7201.84
14.55	7303.34
14.28	7212.68
14.28	7117.91
14.01	7048.57
13.74	6939.74
13.01	6889.5
13.01	6936.82
12.65	6769.52
12.47	6650.64
12.65	6636.66
12.74	6478.11
12.83	6558.28
13.55	6782.68
13.37	6688.65
13.37	6683
12.92	6481.65
12.92	6478.27
12.92	6462.03
12.83	6418.43
12.29	6152.43
12.74	6199.91
13.55	6404.31
13.74	6421.75
14.46	6406.99
14.46	6363.89
14.91	6319.34
14.82	6241.32
15.72	6454.6
15.72	6483.3
15.9	6377.25
15.45	6343.36
15.45	6310.71
15.54	6332.2
15	6228.95
14.55	6033.21
15.18	6115.64
15.27	6138.87
15.36	6063.41
15.27	5984
15.18	5998.32
14.64	5862.79
14.37	5749.64
14.82	5743.86
14.46	5514.89
14.64	5474.79
14.82	5710.18
14.64	5822.98
14.46	5723.73
14.28	5798
15.18	6072.33
15.45	6313.63
15.09	6180.94
15.81	6238.87
15.81	6275.53
15.99	6318.52
15.81	6312.25
15.36	6263.54
15.54	6403.14
15.27	6393.74
15.45	6383.09
15.63	6421.73
15.9	6431.96
15.9	6493.43
16.27	6486.61
16.18	6436.8
16.54	6462.73
17.62	6598.32
18.07	6672.23
18.98	6757.07
19.7	6895.01
19.61	6997.29
19.61	6993.38
19.79	7043.23
18.98	6945.48
18.8	6889.42
18.89	6941.38
19.34	7033.25
18.89	6901.68
18.98	6898.66
18.8	6881.72
19.34	7018.68
19.61	7232.51
19.07	7182.2
19.43	7163.99
19.52	7135.89
20.78	7273.41
21.05	7265.7
21.69	7242.4
21.51	7337.85
21.33	7398.65
21.24	7498.17
20.42	7466.82
